folders_reporting_id,id,parent_folder_id,name,path,is_root,tags,folder_ids,theme,metadata,address,code,locality,country,region,lat,long,created_at,updated_at,csv_errors,AccountPartyId,AccountStatus,ClientCompanyCode,FolderType,VendorAccountId,VendorId,kit_no,program_code,user_defined_field_1,user_defined_field_2,user_defined_field_3,user_defined_field_4,user_defined_field_5,notification_schema_list,emailURL,ClientCompanyPath,ClientCompanyURL,CompanyName,FAQPage,ParticipantionAgreementUrl,PhoneNumber,ProgramPath,SignupKeyDescription,SupportPage,companyLogo,wronglocation,deviceLocations,primaryColor,primaryTextColor,secondaryColor,secondaryTextColor,showLogo,supportNumber,test,account_number,create_membership,deactive_monnit,attributes_node_status,time_zone_abbreviation,gmt_offset
12,5124,5031,Schools,HSBRD/Research and Development/Schools/,False,,"4899,5031,5124","{""ClientCompanyURL"":""https://www.markelinsurance.com/school"",""CompanyName"":""Schools"",""companyLogo"":""img/markel-logo.png"",""primaryColor"":""#c42d7b"",""secondaryColor"":""#ffffff"",""secondaryTextColor"":""#c42d7b""}","{""account_number"":""Schools"",""vendor_account_id"":""20718"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-24 19:45:18,2018-11-13 13:17:18,,,,,,20718,2,,,,,,,,,,,https://www.markelinsurance.com/school,,,,,,,,img/markel-logo.png,,,#c42d7b,,#ffffff,#c42d7b,,,,Schools,,,Active,EDT,-4.0
13,5125,5124,CREC,HSBRD/Research and Development/Schools/CREC/,False,,"4899,5031,5124,5125","{""name"":""venki-theme""}","{""account_number"":""CREC"",""vendor_account_id"":""10067"",""vendor_id"":""2""}",111 Charter Oak Ave.,06106,Hartford,USA,CT,41.7582304,-72.668259,2018-01-24 19:45:29,2018-10-02 15:44:51,,,,,,10067,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CREC,,,Active,EDT,-4.0
14,5126,5125,Learning Corridor,HSBRD/Research and Development/Schools/CREC/Learning Corridor/,False,,"4899,5031,5124,5125,5126",{},"{""account_number"":""Pilot Learning Corridor"",""vendor_account_id"":""10068"",""vendor_id"":""2""}",15 Vernon Street,06106,Hartford,US,CT,41.750916,-72.68409,2018-01-24 19:45:34,2018-01-24 19:45:34,,,,,,10068,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Learning Corridor,,,Active,EDT,-4.0
15,5127,5125,Metropolitan Learning Center (MLC),HSBRD/Research and Development/Schools/CREC/Metropolitan Learning Center (MLC)/,False,,"4899,5031,5124,5125,5127",{},"{""account_number"":""Pilot Metropolitan Learning Center (MLC)"",""vendor_account_id"":""10071"",""vendor_id"":""2""}",1551 Blue Hills Ave,06002,Bloomfield,USA,CT,41.870804,-72.726669,2018-01-24 19:45:36,2018-01-24 19:45:36,,,,,,10071,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Metropolitan Learning Center (MLC),,,Active,EDT,-4.0
16,5128,5125,Discovery Academy,HSBRD/Research and Development/Schools/CREC/Discovery Academy/,False,,"4899,5031,5124,5125,5128",{},"{""account_number"":""Pilot Discovery Academy"",""vendor_account_id"":""10452"",""vendor_id"":""2""}",176 Cumberland Ave,06109,Wethersfield,USA,CT,41.719357,-72.675201,2018-01-24 19:45:38,2018-01-24 19:45:38,,,,,,10452,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Discovery Academy,,,Active,EDT,-4.0
17,5129,5125,Academy of Science and Innovation (ASI) (Formerly MPA),HSBRD/Research and Development/Schools/CREC/Academy of Science and Innovation (ASI) (Formerly MPA)/,False,,"4899,5031,5124,5125,5129",{},"{""account_number"":""Pilot Academy of Science and Innovation (Formerly MPA)"",""vendor_account_id"":""10454"",""vendor_id"":""2""}",600 Slater Road,06053,New Britain,United States,CT,41.68335,-72.809662,2018-01-24 19:45:40,2018-01-24 19:45:40,,,,,,10454,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Academy of Science and Innovation (Formerly MPA),,,Active,EDT,-4.0
18,5130,5125,Academy of Aerospace and Engineering (AAE),HSBRD/Research and Development/Schools/CREC/Academy of Aerospace and Engineering (AAE)/,False,,"4899,5031,5124,5125,5130",{},"{""account_number"":""Pilot Academy of Aerospace and Engineering"",""vendor_account_id"":""11923"",""vendor_id"":""2""}",1101 Kennedy Rd,06095,Windsor,United States,CT,41.895294,-72.65377,2018-01-24 19:45:42,2018-01-24 19:45:42,,,,,,11923,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Academy of Aerospace and Engineering,,,Active,EDT,-4.0
19,5138,5031,Office Buildings,HSBRD/Local Pilots/Office Buildings/,False,,"4899,5031,5138",{},"{""account_number"":""Commercial Office Buildings"",""vendor_account_id"":""20729"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-25 13:13:40,2019-01-15 19:17:20,,,,,,20729,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commercial Office Buildings,,,Active,EDT,-4.0
20,5139,37392,formerly | HSB IoT Sensors Lab (21st floor),HSBRD/Inventory/OSS | 13th Floor | IoT Lab Storage Closet/formerly | HSB IoT Sensors Lab (21st floor)/,False,,"4899,37390,37392,5139",{},"{""account_number"":""HSB IoT Sensors Lab"",""vendor_account_id"":""17193"",""vendor_id"":""2""}",1 State Street,06102,Hartford,United States,CT,41.7659448,-72.6690713,2018-01-25 13:13:42,2019-01-15 18:03:17,,,,,,17193,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSB IoT Sensors Lab,,,Active,EDT,-4.0
21,5140,5138,Manchester UK Office,HSBRD/Local Pilots/Office Buildings/Manchester UK Office/,False,,"4899,5031,5138,5140",{},"{""account_number"":""Manchester UK Office"",""device_location"":""UK  Postal Code M3 7BB"",""vendor_account_id"":""17307"",""vendor_id"":""2""}","Unit 7, Brewery Yard, Deva City Office Park, 7BB, Trinity Way M3",M3 7BB,Manchester,UK,,53.4850067,-2.2536689,2018-01-25 13:13:43,2019-02-08 19:59:29,,,,,,17307,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester UK Office,,,Active,BST,1.0
22,5155,5031,Lessors Risk Occupancies (LROs),HSBRD/Local Pilots/Lessors Risk Occupancies (LROs)/,False,,"4899,5031,5155","{""ClientCompanyURL"":""http://vermontmutual.com/commercial-lines-of-protection"",""CompanyLogo"":""img/vermont_mutual.png"",""CompanyName"":""Lessors Risk "",""primaryColor"":""#F74136"",""secondaryColor"":""#ffffff"",""secondaryTextColor"":""#F74136""}","{""account_number"":""LROs"",""vendor_account_id"":""20717"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-25 19:26:25,2019-03-25 17:49:14,,,,,,20717,2,,,,,,,,,,,http://vermontmutual.com/commercial-lines-of-protection,,,,,,,,,,,#F74136,,#ffffff,#F74136,,,,LROs,,,Active,EDT,-4.0
23,5156,5155,Glen Lochen,HSBRD/Research and Development/LROs/Glen Lochen/,False,,"4899,5031,5155,5156",{},"{""account_number"":""Pilot Glen Lochen"",""vendor_account_id"":""14962"",""vendor_id"":""2""}",39 New London Tpke,06033,Glastonbury,United States,CT,41.717339,-72.608696,2018-01-25 19:26:28,2018-01-25 19:26:28,,,,,,14962,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Glen Lochen,,,Active,EDT,-4.0
24,5157,5155,Chamberlain Square Business Center,HSBRD/Research and Development/LROs/Chamberlain Square Business Center/,False,,"4899,5031,5155,5157",{},"{""account_number"":""Pilot Chamberlain Square Business Center"",""vendor_account_id"":""20003"",""vendor_id"":""2""}",600 East Street,06051,New Britain,United States,CT,41.669353,-72.765686,2018-01-25 19:26:31,2018-01-25 19:26:31,,,,,,20003,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Chamberlain Square Business Center,,,Active,EDT,-4.0
25,5215,4899,Sandbox,HSBRD/Sandbox/,False,,"4899,5215",{},"{""account_number"":""Sandbox"",""vendor_account_id"":""11010"",""vendor_id"":""2""}",1 State Street,06102,Hartford,USA,CT,41.765945,-72.669075,2018-01-26 15:36:49,2018-07-11 13:58:09,,,,,,11010,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandbox,,,Active,EDT,-4.0
26,5216,5031,Convenience Stores,HSBRD/Research and Development/Convenience Stores/,False,,"4899,5031,5216",{},"{""account_number"":""Convenience Stores"",""vendor_account_id"":""20715"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:37:24,2018-01-26 15:37:24,,,,,,20715,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convenience Stores,,,Active,EDT,-4.0
27,5217,5031,Machine Shops,HSBRD/Research and Development/Machine Shops/,False,,"4899,5031,5217",{},"{""account_number"":""Machine Shops"",""vendor_account_id"":""20716"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:37:27,2018-01-26 15:37:27,,,,,,20716,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machine Shops,,,Active,EDT,-4.0
28,5218,5031,Greenhouses,HSBRD/Research and Development/Greenhouses/,False,,"4899,5031,5218",{},"{""account_number"":""Greenhouses"",""vendor_account_id"":""20719"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:37:41,2018-01-26 15:37:41,,,,,,20719,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenhouses,,,Active,EDT,-4.0
29,5219,5031,Residential Locations,HSBRD/Research and Development/Residential Locations/,False,,"4899,5031,5219",{},"{""account_number"":""Residential Locations"",""vendor_account_id"":""20855"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:37:43,2018-01-26 15:37:43,,,,,,20855,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential Locations,,,Active,EDT,-4.0
30,5220,5031,Dairy Farms,HSBRD/Research and Development/Dairy Farms/,False,,"4899,5031,5220","{""ClientCompanyURL"":""https://www.americannational.com/"",""CompanyName"":""Farms"",""companyLogo"":""img/anpac.jpg"",""primaryColor"":""#000080"",""secondaryColor"":""#ffffff"",""secondaryTextColor"":""#000080""}","{""account_number"":""Dairy Farms"",""vendor_account_id"":""20720"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-26 15:37:44,2018-10-23 12:11:15,,,,,,20720,2,,,,,,,,,,,https://www.americannational.com/,,,,,,,,img/anpac.jpg,,,#000080,,#ffffff,#000080,,,,Dairy Farms,,,Active,EDT,-4.0
31,5221,5031,Orchards,HSBRD/Research and Development/Orchards/,False,,"4899,5031,5221",{},"{""account_number"":""Orchards"",""vendor_account_id"":""20721"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:38:30,2018-01-26 15:38:30,,,,,,20721,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orchards,,,Active,EDT,-4.0
32,5222,5031,Grocery Stores,HSBRD/Local Pilots/Grocery Stores/,False,,"4899,5031,5222","{""ClientCompanyURL"":""http://vermontmutual.com/commercial-lines-of-protection"",""CompanyName"":""Grocery Stores"",""companyLogo"":""img/vermont_mutual.png"",""primaryColor"":""#F74136"",""primaryTextColor"":""#fffff"",""secondaryColor"":""#fffff"",""secondaryTextColor"":""#F74136""}","{""account_number"":""Grocery Stores"",""vendor_account_id"":""20722"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-26 15:38:32,2019-03-25 17:49:41,,,,,,20722,2,,,,,,,,,,,http://vermontmutual.com/commercial-lines-of-protection,,,,,,,,img/vermont_mutual.png,,,#F74136,#fffff,#fffff,#F74136,,,,Grocery Stores,,,Active,EDT,-4.0
33,5223,5031,Apartments,HSBRD/Local Pilots/Apartments/,False,,"4899,5031,5223","{""ClientCompanyURL"":""http://vermontmutual.com/commercial-lines-of-protection"",""CompanyName"":""Apartments"",""companyLogo"":""img/vermont_mutual.png"",""primaryColor"":""#F74136"",""secondaryColor"":""#ffffff"",""secondaryTextColor"":""#F74136""}","{""account_number"":""Apartments"",""client_company_code"":""0000"",""folder_type"":""Program"",""program_code"":""1199001"",""vendor_account_id"":""20723"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-26 15:38:34,2019-03-25 17:50:44,,,,0000,Program,20723,2,,1199001,,,,,,,,,http://vermontmutual.com/commercial-lines-of-protection,Apartments,,,,,,,img/vermont_mutual.png,,,#F74136,,#ffffff,#F74136,,,,Apartments,,,Active,EDT,-4.0
34,5224,5031,Dentists,HSBRD/Research and Development/Dentists/,False,,"4899,5031,5224","{""ClientCompanyURL"":""https://www.cna.com/web/guest/cna/home"",""CompanyName"":""Dentists"",""companyLogo"":""img/cna.jpg"",""primaryColor"":""#ed1c2e"",""secondaryColor"":""#ffffff"",""secondaryTextColor"":""#ed1c2e""}","{""account_number"":""Dentists"",""vendor_account_id"":""20724"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-26 15:38:35,2018-12-07 13:13:35,,,,,,20724,2,,,,,,,,,,,https://www.cna.com/web/guest/cna/home,,,,,,,,img/cna.jpg,,,#ed1c2e,,#ffffff,#ed1c2e,,,,Dentists,,,Active,EDT,-4.0
35,5225,5031,Doctors,HSBRD/Research and Development/Doctors/,False,,"4899,5031,5225",{},"{""account_number"":""Doctors"",""vendor_account_id"":""20725"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:38:37,2018-01-26 15:38:37,,,,,,20725,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doctors,,,Active,EDT,-4.0
36,5227,5031,Assisted Living,HSBRD/Research and Development/Assisted Living/,False,,"4899,5031,5227",{},"{""account_number"":""Assisted Living"",""vendor_account_id"":""20727"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:38:46,2018-01-26 15:38:46,,,,,,20727,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,Active,EDT,-4.0
37,5228,5031,Churches,HSBRD/Research and Development/Churches/,False,,"4899,5031,5228","{""ClientCompanyURL"":""https://www.lockton.com/"",""CompanyName"":""Churches"",""companyLogo"":""img/lockton.png"",""primaryColor"":""#003478"",""secondaryColor"":""#003366"",""secondaryTextColor"":""#003478""}","{""account_number"":""Churches"",""vendor_account_id"":""20728"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-26 15:38:51,2018-12-04 13:40:29,,,,,,20728,2,,,,,,,,,,,https://www.lockton.com/,,,,,,,,img/lockton.png,,,#003478,,#003366,#003478,,,,Churches,,,Active,EDT,-4.0
38,5229,5031,Campuses,HSBRD/Research and Development/Campuses/,False,,"4899,5031,5229",{},"{""account_number"":""Campuses"",""vendor_account_id"":""20730"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:38:57,2018-01-26 15:38:57,,,,,,20730,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campuses,,,Active,EDT,-4.0
39,5232,5031,Data Centers,HSBRD/Research and Development/Data Centers/,False,,"4899,5031,5232",{},"{""account_number"":""Data Centers"",""vendor_account_id"":""20733"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-26 15:39:12,2018-01-26 15:39:12,,,,,,20733,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Centers,,,Active,EDT,-4.0
40,5233,5215,HSB Boiler Room,HSBRD/Sandbox/HSB Boiler Room/,False,,"4899,5215,5233",{},"{""account_number"":""1111"",""vendor_account_id"":""7496"",""vendor_id"":""2""}",1 State Street,06102,Hartford,US,CT,41.7659448,-72.6690713,2018-01-26 15:39:18,2018-12-28 18:41:23,,,,,,7496,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,,,Active,EDT,-4.0
41,5234,5217,Bauer,HSBRD/Research and Development/Machine Shops/Bauer/,False,,"4899,5031,5217,5234",{},"{""account_number"":""Pilot Bauer"",""vendor_account_id"":""7877"",""vendor_id"":""2""}",175 Century Drive,06010,Bristol,USA,CT,41.652699,-72.917557,2018-01-26 15:39:22,2018-01-26 15:39:22,,,,,,7877,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Bauer,,,Active,EDT,-4.0
42,5235,5219,HSB Smart Home,HSBRD/Research and Development/Residential Locations/HSB Smart Home/,False,,"4899,5031,5219,5235",{},"{""account_number"":""HSB Smart Home"",""vendor_account_id"":""7945"",""vendor_id"":""2""}",3976 Bach Buxton road,45102,Amelia,USA,OH,39.063095,-84.243103,2018-01-26 15:39:24,2018-01-26 15:39:24,,,,,,7945,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSB Smart Home,,,Active,EDT,-4.0
43,5236,5215,Rick House,HSBRD/Sandbox/Rick House/,False,,"4899,5215,5236",{},"{""account_number"":""111222333"",""vendor_account_id"":""8829"",""vendor_id"":""2""}",56 Quail Run,06033,Glastonbury,US,CT,41.698872,-72.482389,2018-01-26 15:39:27,2018-12-28 18:42:11,,,,,,8829,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111222333,,,Active,EDT,-4.0
44,5237,5222,Kane's Market,HSBRD/Research and Development/Grocery Stores/Kane's Market/,False,,"4899,5031,5222,5237",{},"{""account_number"":""Pilot Kane\u0026#39;s Market"",""vendor_account_id"":""9096"",""vendor_id"":""2""}",1310 Hopmeadow,06070,Simsbury,United States of America,CT,41.901455,-72.786018,2018-01-26 15:39:29,2018-01-30 19:46:00,,,,,,9096,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Kane&#39;s Market,,,Active,EDT,-4.0
45,5239,5223,Twin Oaks,HSBRD/Research and Development/Apartments/Twin Oaks/,False,,"4899,5031,5223,5239",{},"{""account_number"":""Pilot Twin Oaks"",""vendor_account_id"":""10686"",""vendor_id"":""2""}",100 Oakwood Ave.,06119,West Hartford,USA,CT,41.754349,-72.721237,2018-01-26 15:39:37,2018-01-26 15:39:37,,,,,,10686,2,,,,,,,,,,,,Apartments,,,,,,,,,,,,,,,,,Pilot Twin Oaks,,,Active,EDT,-4.0
46,5240,5215,Test Demo Account,HSBRD/Research and Development/Sandbox/Test Demo Account/,False,,"4899,5031,5215,5240",{},"{""account_number"":""Test Demo Account"",""vendor_account_id"":""10926"",""vendor_id"":""2""}",One State Street,06102,Hartford,USA,CT,41.765945,-72.669075,2018-01-26 15:39:39,2018-01-26 15:39:39,,,,,,10926,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Demo Account,,,Active,EDT,-4.0
47,5241,5215,Demo,HSBRD/Research and Development/Sandbox/Demo/,False,,"4899,5031,5215,5241",{},"{""account_number"":""rddemo"",""vendor_account_id"":""11009"",""vendor_id"":""2""}",1 State Street,06102,Hartford,USA,CT,41.765945,-72.669075,2018-01-26 15:39:41,2018-01-26 15:39:41,,,,,,11009,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rddemo,,,Active,EDT,-4.0
48,5242,5215,Test,HSBRD/Research and Development/Sandbox/Test/,False,,"4899,5031,5215,5242",{},"{""account_number"":""rdTest"",""vendor_account_id"":""11011"",""vendor_id"":""2""}",1 State Street,06102,Hartford,USA,CT,41.765945,-72.669075,2018-01-26 15:39:43,2018-01-26 15:39:43,,,,,,11011,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdTest,,,Active,EDT,-4.0
49,5243,5215,Munich Re,HSBRD/Research and Development/Sandbox/Munich Re/,False,,"4899,5031,5215,5243",{},"{""account_number"":""Munich Re"",""vendor_account_id"":""12040"",""vendor_id"":""2""}",Königinstraße 107,80802,München,Deutschland,Bavaria,48.156147,11.588902,2018-01-26 15:39:45,2018-01-26 15:39:45,,,,,,12040,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munich Re,,,Active,CEST,2.0
50,5244,5215,Gen 2 Firmware Update Test,HSBRD/Research and Development/Sandbox/Gen 2 Firmware Update Test/,False,,"4899,5031,5215,5244",{},"{""account_number"":""Gen 2 Firmware Update Test"",""vendor_account_id"":""12053"",""vendor_id"":""2""}",8 Coyote Glen,01077,Southwick,USA,MA,42.053181,-72.742264,2018-01-26 15:39:47,2018-01-26 15:39:47,,,,,,12053,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 2 Firmware Update Test,,,Active,EDT,-4.0
51,5245,5215,Gen 2A,HSBRD/Research and Development/Sandbox/Gen 2A/,False,,"4899,5031,5215,5245",{},"{""account_number"":""Gen 2A"",""vendor_account_id"":""12054"",""vendor_id"":""2""}",9 Coyote Glen,01077,Southwick,USA,MA,42.053722,-72.743027,2018-01-26 15:39:49,2018-01-26 15:39:49,,,,,,12054,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 2A,,,Active,EDT,-4.0
52,5246,5215,Gen2B,HSBRD/Research and Development/Sandbox/Gen2B/,False,,"4899,5031,5215,5246",{},"{""account_number"":""Gen2B"",""vendor_account_id"":""12055"",""vendor_id"":""2""}",108 Oak Ridge Dr,06096,Windsor Locks,United States,CT,41.903835,-72.637398,2018-01-26 15:39:54,2018-01-26 15:39:54,,,,,,12055,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen2B,,,Active,EDT,-4.0
